Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
85074;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85061;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85001;Phoenix;AZ;33.703967;-112.351835;-7;0;33.703967,-112.351835
85031;Phoenix;AZ;33.493496;-112.17108;-7;0;33.493496,-112.17108
85041;Phoenix;AZ;33.386995;-112.10076;-7;0;33.386995,-112.10076
85075;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85013;Phoenix;AZ;33.50711;-112.08483;-7;0;33.50711,-112.08483
85017;Phoenix;AZ;33.514092;-112.12285;-7;0;33.514092,-112.12285
85068;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85023;Phoenix;AZ;33.638271;-112.09341;-7;0;33.638271,-112.09341
85036;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85042;Phoenix;AZ;33.381234;-112.027663;-7;0;33.381234,-112.027663
85098;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85032;Phoenix;AZ;33.62414;-112.00416;-7;0;33.62414,-112.00416
85051;Phoenix;AZ;33.559783;-112.13361;-7;0;33.559783,-112.13361
85065;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85035;Phoenix;AZ;33.472492;-112.1875;-7;0;33.472492,-112.1875
85011;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85076;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85038;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85020;Phoenix;AZ;33.563663;-112.05519;-7;0;33.563663,-112.05519
85004;Phoenix;AZ;33.451093;-112.07057;-7;0;33.451093,-112.07057
85045;Phoenix;AZ;33.29974;-112.09812;-7;0;33.29974,-112.09812
85069;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85067;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85062;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85029;Phoenix;AZ;33.598841;-112.12023;-7;0;33.598841,-112.12023
85039;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85073;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85071;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85099;Phoenix;AZ;33.276539;-112.18717;-7;0;33.276539,-112.18717
85034;Phoenix;AZ;33.437772;-112.0281;-7;0;33.437772,-112.0281
85006;Phoenix;AZ;33.466392;-112.04875;-7;0;33.466392,-112.04875
85015;Phoenix;AZ;33.50689;-112.10262;-7;0;33.50689,-112.10262
